N,m,\textbf{1},\textbf{2},\textbf{3},\textbf{4},\textbf{5}
200,3.9,27.8 (3.7),27.3 (2.7),27.6 (2.2),27.7 (2.4),27.6 (1.9)
250,3.9,27.8 (3.7),27.3 (2.7),27.6 (2.2),27.7 (2.4),27.6 (1.9)
300,3.9,27.8 (3.7),27.3 (2.7),27.6 (2.2),27.7 (2.4),27.6 (1.9)
50,4,27.0 (3.5),26.5 (2.6),26.8 (2.1),26.8 (2.3),26.8 (1.8)
100,4,27.0 (3.5),26.5 (2.6),26.8 (2.1),26.8 (2.3),26.8 (1.8)
150,4,27.0 (3.5),26.5 (2.6),26.8 (2.1),26.8 (2.3),26.8 (1.8)
200,4,27.0 (3.5),26.5 (2.6),26.8 (2.1),26.8 (2.3),26.8 (1.8)
250,4,27.0 (3.5),26.5 (2.6),26.8 (2.1),26.8 (2.3),26.8 (1.8)
300,4,27.0 (3.5),26.5 (2.6),26.8 (2.1),26.8 (2.3),26.8 (1.8)
50,4.1,26.2 (3.4),25.6 (2.4),25.9 (2.0),25.9 (2.1),25.8 (1.7)
100,4.1,26.2 (3.4),25.6 (2.4),25.9 (2.0),25.9 (2.1),25.8 (1.7)
150,4.1,26.2 (3.4),25.6 (2.4),25.9 (2.0),25.9 (2.1),25.8 (1.7)
200,4.1,26.2 (3.4),25.6 (2.4),25.9 (2.0),25.9 (2.1),25.8 (1.7)
250,4.1,26.2 (3.4),25.6 (2.4),25.9 (2.0),25.9 (2.1),25.8 (1.7)
300,4.1,26.2 (3.4),25.6 (2.4),25.9 (2.0),25.9 (2.1),25.8 (1.7)
50,4.2,25.4 (3.2),24.9 (2.2),25.1 (1.9),25.1 (2.0),25.0 (1.6)
100,4.2,25.4 (3.2),24.9 (2.2),25.1 (1.9),25.1 (2.0),25.0 (1.6)
150,4.2,25.4 (3.2),24.9 (2.2),25.1 (1.9),25.1 (2.0),25.0 (1.6)
200,4.2,25.4 (3.2),24.9 (2.2),25.1 (1.9),25.1 (2.0),25.0 (1.6)
250,4.2,25.4 (3.2),24.9 (2.2),25.1 (1.9),25.1 (2.0),25.0 (1.6)
300,4.2,25.4 (3.2),24.9 (2.2),25.1 (1.9),25.1 (2.0),25.0 (1.6)
50,4.3,24.8 (3.1),24.2 (1.9),24.3 (1.7),24.3 (1.7),24.2 (1.5)
100,4.3,24.8 (3.1),24.2 (1.9),24.3 (1.7),24.3 (1.7),24.2 (1.5)
150,4.3,24.8 (3.1),24.2 (1.9),24.3 (1.7),24.3 (1.7),24.2 (1.5)
200,4.3,24.8 (3.1),24.2 (1.9),24.3 (1.7),24.3 (1.7),24.2 (1.5)
250,4.3,24.8 (3.1),24.2 (1.9),24.3 (1.7),24.3 (1.7),24.2 (1.5)
300,4.3,24.8 (3.1),24.2 (1.9),24.3 (1.7),24.3 (1.7),24.2 (1.5)
50,4.4,24.1 (2.9),23.5 (1.6),23.6 (1.5),23.6 (1.4),23.5 (1.4)
100,4.4,24.1 (2.9),23.5 (1.6),23.6 (1.5),23.6 (1.4),23.5 (1.4)
150,4.4,24.1 (2.9),23.5 (1.6),23.6 (1.5),23.6 (1.4),23.5 (1.4)
200,4.4,24.1 (2.9),23.5 (1.6),23.6 (1.5),23.6 (1.4),23.5 (1.4)
250,4.4,24.1 (2.9),23.5 (1.6),23.6 (1.5),23.6 (1.4),23.5 (1.4)
300,4.4,24.1 (2.9),23.5 (1.6),23.6 (1.5),23.6 (1.4),23.5 (1.4)
